address,BikeParking,BusinessAcceptsCreditCards,Caters,CoatCheck,GoodForKids,HappyHour,HasTV,OutdoorSeating,RestaurantsDelivery,RestaurantsGoodForGroups,RestaurantsReservations,RestaurantsTableService,RestaurantsTakeOut,WheelchairAccessible,business_id,categories,city,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,latitude,longitude,name,neighborhood,postal_code,review_count,stars,state,ambience_romantic,ambience_intimate,ambience_classy,ambience_hipster,ambience_touristy,ambience_trendy,ambience_upscale,ambience_casual,good_for_dessert,good_for_latenight,good_for_lunch,good_for_dinner,good_for_breakfast,good_for_brunch,parking_garage,parking_street,parking_validated,parking_lot,parking_valet,TotalOpenTimeInWeek,NumberOfWeekdaysWithEarlyOpening,NumberOfWeekdaysWithLateClosing,OpenOnWeekends,bestnight_monday,bestnight_tuesday,bestnight_wednesday,bestnight_thursday,bestnight_friday,bestnight_saturday,bestnight_sunday,music_dj,music_background_music,music_no_music,music_karaoke,music_live,music_video,music_jukebox,full_bar,beer_and_wine,no_alcohol,smoking_outdoor,smoking_no,smoking_yes,wifi_free,wifi_no,wifi_paid,noise_average,noise_loud,noise_quiet,noise_very_loud,price_range_1,price_range_2,price_range_3,price_range_4,attire_casual,attire_dressy,negative_reviews,neutral_reviews,positive_reviews
972 College Street W,,,True,,False,,False,False,False,True,True,,False,True,3YKV1eralyrKQqoWOTJMDA,"Italian, Restaurants",Toronto,17:30-0:0,,17:30-0:0,,17:30-23:0,17:30-23:0,17:30-23:0,43.6535007,-79.42760899999999,Giulietta,Dufferin Grove,M6H 1A5,12,4.5,ON,False,False,False,False,False,False,False,False,,,,,,,False,True,False,False,False,,,,,,,,,,,,,,,,,,,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,1.0,,11.0
27 Yorkville Avenue,,True,False,,False,,False,True,False,True,True,True,True,True,tgjbQEtZ_bvQBJOlfiK1OA,"Mediterranean, Middle Eastern, Italian, Restaurants",Toronto,17:0-23:0,17:0-22:0,17:0-23:0,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0,43.6715509,-79.3888742,Mideastro Yorkville,Yorkville,M4W 1L4,28,3.5,ON,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,1 days 13:00:00.000000000,0.0,5.0,2.0,,,,,,,,,,,,,,,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,8.0,1.0,19.0
133 Yorkville Avenue,False,True,False,True,False,True,False,True,False,True,True,True,False,False,S5bNE4Pmin8OQUMOFod8bQ,"Bars, Italian, Restaurants, Nightlife, Wine Bars",Toronto,11:30-2:0,11:30-0:0,11:30-2:0,11:30-0:0,11:30-2:0,11:30-0:0,11:30-0:0,43.670475399999994,-79.3936453,Ciao Wine Bar,Yorkville,M5R 1C4,122,3.0,ON,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,True,3 days 21:30:00.000000000,0.0,5.0,2.0,False,False,False,False,True,True,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,True,23.0,15.0,84.0
1378 Yonge Street,,True,,,True,,False,True,True,True,True,True,True,,0rMFhLzeq3Z2OaJ62MQXlw,"Italian, Restaurants",Toronto,,,,,,,,43.6862465,-79.39356140000001,Spiga Ristorante,Yonge and St. Clair,M4T 1Y5,12,4.0,ON,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,1.0,2.0,9.0
2777 Steeles Avenue W,False,True,True,,True,,True,False,False,True,True,True,True,True,Xfp4-gMS2HZhISIxw5HnvA,"Canadian (New), Italian, Restaurants",Toronto,11:30-22:30,11:30-15:0,11:30-22:30,,11:30-21:0,11:30-21:0,11:30-21:0,43.7821596,-79.4904296,La Risata Ristorante,,M3J 3K5,16,3.0,ON,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,,0.0,4.0,,,,,,,,,,,,,,,,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,4.0,2.0,10.0
37 Elm Street,False,True,False,,False,,False,True,False,True,True,True,True,False,Q4RSmF0s-AkaegrLFCLEbg,"Seafood, Italian, Restaurants",Toronto,16:30-0:0,16:30-23:0,16:30-0:0,,16:30-23:0,16:30-23:0,16:30-23:0,43.657425,-79.38347399999999,Donatello Restaurant,Downtown Core,M5G 1H1,125,4.0,ON,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,,0.0,5.0,,,,,,,,,,,,,,,,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,11.0,9.0,105.0
2088 Yonge Street,True,True,True,,True,,True,True,False,True,True,True,True,,wVc3g-YfyDvkOLDecpr4DA,"Canadian (New), American (New), Restaurants, Italian",Toronto,17:0-23:0,17:0-23:0,17:0-23:0,,17:0-23:0,17:0-23:0,17:0-23:0,43.702215268900005,-79.397614373,Five Doors North,Mount Pleasant and Davisville,M4S 2A3,105,4.0,ON,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,,0.0,5.0,,,,,,,,,,,,,,,,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,10.0,8.0,87.0
41 Clinton St,True,True,,,False,,False,True,False,True,True,True,False,True,k4PFaATcPO0tvTetNbdm8Q,"Caterers, Italian, Restaurants, Event Planning & Services",Toronto,18:0-23:0,18:0-23:0,18:0-23:0,,18:0-23:0,18:0-23:0,18:0-23:0,43.6553284,-79.4137911,Trattoria Giancarlo,Little Italy,M6J 2N9,30,3.5,ON,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,0.0,5.0,,,,,,,,,,,,,,,,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,4.0,3.0,23.0
296 Brunswick Avenue,,True,,True,,,True,True,False,,True,True,,,B_eq-9vINgR0m1PwgUp5aw,"Italian, Nightlife, Restaurants",Toronto,11:0-2:0,11:0-2:0,9:0-2:0,9:0-15:30,11:0-2:0,11:0-2:0,11:0-2:0,43.665449100000004,-79.4078992,The Annex Live,,M5S,3,3.0,ON,,,,,,,,,False,False,False,False,False,False,False,True,False,False,False,4 days 02:30:00.000000000,0.0,5.0,2.0,,,,,,,,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,,,3.0
137 Avenue Rd,,True,,,False,,True,True,,True,True,True,True,True,I1Y_Nal9YsnSPvvXb47Ofw,"Italian, Seafood, Restaurants",Toronto,12:0-2:30,17:0-0:0,17:0-1:0,,12:0-2:30,12:0-2:30,12:0-2:30,43.6739721,-79.3960984,Vittorio's On Avenue,,M5R 1V2,10,3.0,ON,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,0.0,5.0,,,,,,,,,,,,,,,,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,,1.0,9.0
295 Adelaide St W,True,True,False,,False,,False,True,False,True,True,True,True,,s7Pj1mNYqRTGNOXLOiBafw,"Restaurants, Italian",Toronto,,,,,,,,43.64766289999999,-79.3904187,Figo,Entertainment District,M5V 1P7,173,3.5,ON,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,,,,,,,,,,,,,,,,,,,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,19.0,22.0,133.0
2472 Yonge Street,False,True,,,True,,True,False,False,True,True,True,False,,0XZkaHXjxHAhJc_jPtoJCA,"Restaurants, Italian",Toronto,17:0-2:0,17:0-2:0,17:0-2:0,,17:0-2:0,17:0-2:0,17:0-2:0,43.7114497,-79.3995315,Vita Sociale,Yonge and Eglinton,M4P 2H5,25,2.0,ON,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,0.0,5.0,,,,,,,,,,,,,,,,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,8.0,5.0,12.0
690 The Queensway,False,True,,,False,,True,False,False,True,True,True,False,,rxr0kjcVwX22QI2Hq5iA4w,"Restaurants, Italian",Toronto,17:0-23:0,,17:0-23:0,17:0-23:0,17:0-23:0,17:0-23:0,17:0-23:0,43.627036,-79.499418,Grappa Restaurant,Etobicoke,M8Y 1K8,21,3.5,ON,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,2.0,,,,,,,,,,,,,,,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,3.0,4.0,14.0
1552 Avenue Road,,True,,,True,,False,False,False,True,True,True,False,,KkRUprt06Jg8ANLIQLPijQ,"Italian, Restaurants",Toronto,,,,,,,,43.7233315,-79.416353,La Cascina,,M5M 3X5,14,4.0,ON,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,2.0,1.0,11.0
"1 Harbour Square, 38th Floor",False,True,True,,False,,False,False,False,True,True,True,True,,jluEI1ZDQDeJlbl-M3YH3Q,"Nightlife, Bars, Wine Bars, Italian, Food, Restaurants, Beer, Wine & Spirits",Toronto,17:0-23:0,17:0-22:30,17:0-23:0,17:0-22:30,17:0-22:30,17:0-22:30,17:0-22:30,43.6408581,-79.37707900000001,Toula Restaurant & Bar,Harbourfront,M5J 1A6,188,2.0,ON,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,1 days 15:30:00.000000000,0.0,5.0,2.0,,,,,,,,,,,,,,,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,53.0,25.0,110.0
45 Elm Street,True,True,True,,False,,False,False,False,True,True,True,True,False,yEgnxd3aUUgUoG7qJiuDlQ,"Italian, Seafood, Mediterranean, Restaurants",Toronto,17:30-22:0,17:30-22:0,17:30-22:0,,17:30-22:0,17:30-22:0,17:30-22:0,43.6573002,-79.3838275,Oro Restaurant,Downtown Core,M5G 1H1,47,4.0,ON,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,,0.0,5.0,,,,,,,,,,,,,,,,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,5.0,6.0,36.0
865 York Mills Road,True,,,,True,,True,True,False,True,True,True,True,True,6I715CbaGgu1Wu16ahmm8A,"Restaurants, Mediterranean, Italian",Toronto,11:0-23:0,11:0-22:30,11:0-23:0,11:0-22:30,11:0-22:30,11:0-22:30,11:0-22:30,43.754740710600004,-79.3497137725,Cucina 865,,M3B 1Y6,16,3.5,ON,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,3 days 09:30:00.000000000,0.0,5.0,2.0,,,,,,,,,,,,,,,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,1.0,2.0,13.0
137 Avenue Road,True,True,,,True,,True,False,False,True,True,True,False,,PmLFk1s8pPVNXChqETM4MA,"Event Planning & Services, Restaurants, Caterers, Italian",Toronto,16:0-2:0,16:0-2:0,16:0-2:0,16:0-2:0,16:0-2:0,16:0-2:0,16:0-2:0,43.6739132,-79.3962418,Coco Lezzone,The Annex,M5R 2H4,17,3.5,ON,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,2 days 22:00:00.000000000,0.0,5.0,2.0,,,,,,,,,,,,,,,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,3.0,1.0,13.0
36A Prince Arthur Avenue,True,True,,,False,,False,True,False,True,True,True,True,,OJ6zfenoK-eBNI7vvNrOsg,"Restaurants, Italian",Toronto,17:30-23:0,17:30-22:30,17:30-23:0,,17:30-22:30,17:30-22:30,17:30-22:30,43.669540600000005,-79.3973027,Fieramosca,The Annex,M5R 1A9,77,4.0,ON,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,0.0,5.0,,,,,,,,,,,,,,,,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,7.0,3.0,67.0
116 Avenue Road,True,True,True,,False,,False,False,False,True,True,True,False,False,7Uti5EeAwm3drG14KVrE3Q,"Restaurants, Italian",Toronto,17:0-23:0,17:0-23:0,17:0-23:0,17:0-23:0,17:0-23:0,17:0-23:0,17:0-23:0,43.67365770000001,-79.3963287,Spuntini Restaurant & Bar,The Annex,M5R 2H4,75,4.0,ON,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,1 days 18:00:00.000000000,0.0,5.0,2.0,,,,,,,,,,,,,,,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,6.0,10.0,59.0
2015 Avenue Road,True,True,True,True,True,False,True,True,False,True,True,True,True,True,ct-giKPfU5KqDSZPblIPiQ,"Nightlife, Wine Bars, Italian, Bars, French, Restaurants, American (Traditional)",Toronto,17:0-22:0,,16:30-22:30,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0,43.7354671,-79.41977879999999,Left Bank Grill & Wine Bar,,M5M 4A5,4,3.0,ON,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,2.0,,,,,,,,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,1.0,,3.0
12 Cumberland Street,,True,,False,False,,True,False,,True,True,True,True,,J0ET9_Zvh10E02BrEN74iw,"Lounges, Nightlife, Bars, Italian, Restaurants",Toronto,11:0-23:0,9:0-22:0,17:0-23:0,,11:0-23:0,11:30-22:0,11:30-22:0,43.671077000000004,-79.3879681,Fortuna Ristorante & Lounge,Yorkville,M4W 1J5,18,3.5,ON,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,,0.0,5.0,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,3.0,2.0,13.0
133 Yorkville Avenue,True,True,True,False,False,True,False,False,False,True,True,True,False,,7ZBh-3wWVQ5zkd6KZytW0g,"Restaurants, Nightlife, Italian, Wine Bars, Mediterranean, Bars",Toronto,11:30-2:0,11:30-0:0,11:30-2:0,11:30-0:0,11:30-2:0,11:30-0:0,11:30-0:0,43.670462,-79.3935696,Cibo Wine Bar,Yorkville,M5R 1C4,108,3.0,ON,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,3 days 21:30:00.000000000,0.0,5.0,2.0,False,False,False,True,True,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,True,19.0,14.0,75.0
1060 Eglinton Avenue W,True,True,,,False,,False,False,False,True,True,True,True,True,y1AM7MeCN3HaS7SHnxcBfQ,"Italian, Restaurants",Toronto,17:0-23:0,17:0-23:0,17:0-23:0,17:0-23:0,17:0-23:0,17:0-23:0,17:0-23:0,43.7001105,-79.4307194,Il Mulino,,M6C 2C5,59,4.0,ON,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,1 days 18:00:00.000000000,0.0,5.0,2.0,,,,,,,,,,,,,,,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,5.0,4.0,50.0
145 King Street W,True,True,False,,False,,True,True,False,True,True,True,False,,A4aqz0pfgMX-votNbSZQDA,"Restaurants, Italian",Toronto,17:0-22:30,17:0-22:30,,,17:0-22:30,17:0-22:30,17:0-22:30,43.647468599999996,-79.3841931,Modus Ristorante,Financial District,M5H 4G2,20,3.5,ON,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,0.0,5.0,,,,,,,,,,,,,,,,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,2.0,3.0,15.0
602 College Street,,True,,,False,,,True,,True,True,True,,False,ihKI3k-fnzKERzKq3KOsxA,"Italian, Restaurants",Toronto,16:0-2:0,16:0-2:0,16:0-2:0,16:0-2:0,16:0-2:0,16:0-2:0,16:0-2:0,43.655264,-79.41424190000001,Coco Lezzone Resto & Bar,Little Italy,M6G 1B4,23,3.0,ON,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,2 days 22:00:00.000000000,0.0,5.0,2.0,,,,,,,,,,,,,,,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,3.0,2.0,18.0
514 Eglinton Ave W,,True,,,True,,False,False,False,False,True,True,True,,FDxnnImJ-Q0CXRwGVJ1gig,"Restaurants, Italian",Toronto,,,,,,,,43.7036821,-79.4135891,Green Eggplant Restaurant,,M5N 1A5,11,4.0,ON,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,2.0,2.0,7.0
335 King Street W,,True,,,False,,False,True,False,True,True,True,False,True,3q8MtOEIJ6nC7kVv_8Mfgw,"Italian, Restaurants",Toronto,,,,,,,,43.6461617,-79.39126590000001,Verona Restaurant,Entertainment District,M5V 1J5,25,3.0,ON,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,,,,,,,,,,,,,,,,,,,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,5.0,3.0,17.0
944 Eglinton Ave W,False,True,False,,True,,False,False,True,False,False,False,True,,m9tH7h2sKkyWMdTbBYej9g,"Pizza, Sandwiches, Italian, Restaurants",Toronto,11:0-0:0,11:0-23:0,11:0-0:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,43.7005602,-79.42860959999999,Mamma's Pizza,,M6C 2C2,5,1.5,ON,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,3 days 14:00:00.000000000,0.0,5.0,2.0,,,,,,,,,,,,,,,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,3.0,1.0,1.0
127 Strachan Avenue,True,True,False,,False,,False,True,False,True,True,True,False,True,YKbJP76PSTRXqTU_GNKoeQ,"Italian, Canadian (New), Restaurants, American (New)",Toronto,,,,,,,,43.6433151,-79.4120547,Politica Resto Bar,Niagara,M6J 2S7,19,3.5,ON,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,,,,,,,,,,,,,,,,,,,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,3.0,,16.0
1095 Yonge Street,True,True,False,,True,,False,True,False,True,True,True,True,True,XD0LjNuPPwJPsTAHecUh7A,"Restaurants, Italian",Toronto,11:30-23:0,11:30-22:0,11:30-23:0,11:30-22:0,11:30-23:0,11:30-22:0,11:30-22:0,43.6800112831,-79.3905191479,Terroni,Rosedale,M4W 2L8,207,3.0,ON,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,3 days 04:30:00.000000000,0.0,5.0,2.0,,,,,,,,,,,,,,,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,48.0,20.0,139.0
95 King Street E,False,True,,True,,False,True,False,,True,True,,,False,6l5ES0YHypA-JCk7naGBjg,"Italian, Restaurants, Bars, Lounges, Nightlife, Cocktail Bars",Toronto,11:0-21:0,,15:0-21:0,,11:0-21:0,11:0-21:0,11:0-21:0,43.649733197299994,-79.3748815366,Troika Vodka Boutique,St. Lawrence,M5C 1G3,5,3.5,ON,False,False,False,False,False,False,False,False,,,,,,,False,True,False,False,False,,,,,False,False,False,True,True,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,1.0,,4.0
3157 Dufferin Street,,True,True,,True,,,False,True,True,True,True,True,True,S7HAX9CfBs_pUPHO6jb1Uw,"Seafood, Caterers, Italian, Event Planning & Services, Restaurants",Toronto,11:0-22:0,11:0-21:0,11:0-22:30,,11:0-22:0,11:0-21:0,11:0-21:0,43.717259000000006,-79.455426,Mirra's Place,,M6A 2S9,4,3.5,ON,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,0.0,5.0,,,,,,,,,,,,,,,,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,,,4.0
613 College Street,True,True,False,,False,,False,True,False,True,True,True,True,True,_K03oh0gftzge5y-dku-6A,"Restaurants, Italian",Toronto,17:0-0:0,17:0-22:0,17:0-0:0,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0,43.654906,-79.41456120000001,La Forchetta,Little Italy,M6G,41,3.5,ON,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,1 days 15:00:00.000000000,0.0,5.0,2.0,,,,,,,,,,,,,,,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,6.0,4.0,31.0
156 Cumberland Street,True,True,,,True,,True,False,True,True,True,True,True,,5nie8WoCB-MpEYT5uE6t4A,"Italian, Restaurants",Toronto,,,,,,,,43.669941200000004,-79.3933271,Toni Bulloni,Yorkville,M5R 1A8,31,3.5,ON,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,4.0,5.0,22.0
2459 Yonge St,,True,False,,False,,False,True,False,False,True,True,True,False,l09JfMeQ6ynYs5MCJtrcmQ,"French, Italian, Restaurants",Toronto,9:0-22:0,9:0-22:0,9:0-22:0,9:0-22:0,9:0-22:0,9:0-22:0,9:0-22:0,43.7113993,-79.3993388,Alize Catering,Yonge and Eglinton,M4P 2H6,12,3.0,ON,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,3 days 19:00:00.000000000,0.0,5.0,2.0,,,,,,,,,,,,,,,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,1.0,1.0,10.0
